browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s,,,,,,,,,,
Firefox,116,MacOS,en-CA,2023-08-16_19:11:08,2023-08-16_15:11:08,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=av20,554.024,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
213,test,P,word,m,3t14_2C,1000,waitResponseWindow,3000,m,,,1000,60,16.66,522079,m,1036,1
214,test,R,word,m,3t15_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,527035,timeout,2990,0
215,test,C,word,m,3t16_2C,1000,waitResponseWindow,3000,m,,,1000,60,16.67,530035,timeout,2997,0
216,test,S,word,m,3t17_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,533041,timeout,2994,0
217,test,R,word,m,3t18_2C,1000,waitResponseWindow,3000,m,,,1000,60,16.66,536035,timeout,2978,0
218,test,K,word,m,3t19_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,539036,timeout,2990,0
219,test,C,word,m,3t20_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,542036,timeout,2989,0
220,test,S,word,m,3t21_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,545037,timeout,2993,0
221,test,K,word,m,3t22_2C,1000,waitResponseWindow,3000,m,,,346;1000,20,16.66,545382,m,333,1
222,test,T,word,m,3t23_2,1000,waitResponseWindow,3000,m,,,1001,60;60,16.68,551036,timeout,2988,0
