browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"114.0",MacOS,en-CA,2023-06-19_19:00:53,2023-06-19_15:00:53,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start,535.713

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"206",test,A,word,m,3t7_2,"1000",waitResponseWindow,"3000",m,"","","1000",121;120,"8.32",484716,timeout,2993,"0"
"207",test,E,word,m,3t8_2,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",487709,timeout,2984,"0"
"208",test,B,word,m,3t9_2,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",490709,timeout,2990,"0"
"209",test,S,word,m,3t10_2,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",493714,timeout,2995,"0"
"210",test,P,word,m,3t11_2,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",496715,timeout,2991,"0"
"211",test,B,word,m,3t12_2C,"1000",waitResponseWindow,"3000",m,"","",329;1000,"39","8.27",497042,m,319,"1"
"212",test,C,word,m,3t13_2,"1000",waitResponseWindow,"3000",m,"","","1000",121;120,"8.29",502714,timeout,2991,"0"
"213",test,P,word,m,3t14_2C,"1000",waitResponseWindow,"3000",m,"","",299;1000,"36","8.27",503012,m,289,"1"
"214",test,R,word,m,3t15_2,"1000",waitResponseWindow,"3000",m,"","","1000",121;120,"8.29",508715,timeout,2994,"0"
"215",test,C,word,m,3t16_2C,"1000",waitResponseWindow,"3000",m,"","",325;1000,"39","8.27",509038,m,314,"1"
"216",test,S,word,m,3t17_2,"1000",waitResponseWindow,"3000",m,"","","1000",121;120,"8.29",514715,timeout,2993,"0"
"217",test,R,word,m,3t18_2C,"1000",waitResponseWindow,"3000",m,"","",331;1000,"39","8.34",515043,m,320,"1"
"218",test,K,word,m,3t19_2,"1000",waitResponseWindow,"3000",m,"","","1000",120;120,"8.34",520717,timeout,2993,"0"
"219",test,C,word,m,3t20_2,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",523708,timeout,2983,"0"
"220",test,S,word,m,3t21_2,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",526709,timeout,2991,"0"
"221",test,K,word,m,3t22_2C,"1000",waitResponseWindow,"3000",m,"","",599;1004,"72","8.27",527308,m,588,"1"
"222",test,T,word,m,3t23_2,"1000",waitResponseWindow,"3000",m,"","","1004",121;121,"8.30",532718,timeout,2995,"0"
