browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"114.0",Windows,en-US,2023-06-09_16:31:18,2023-06-09_18:31:18,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=sabine1,797.256

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"176",test,P,word,m,3t2_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",633617,timeout,2991,"0"
"177",test,R,word,m,3t3_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",636616,timeout,2980,"0"
"178",test,L,word,m,3t4_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",639616,timeout,2988,"0"
"179",test,H,word,m,3t5_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",640670,m,1037,"1"
"180",test,R,word,m,3t6_1C,"1000",waitResponseWindow,"3000",m,"","",855;1000,"51","16.66",643469,m,841,"1"
"181",test,L,word,m,3t7_1C,"1000",waitResponseWindow,"3000",m,"","",696;1000,60;41,"16.66",646310,m,685,"1"
"182",test,H,word,m,3t8_1C,"1000",waitResponseWindow,"3000",m,"","",723;1000,60;43,"16.66",649336,m,713,"1"
"183",test,M,word,m,3t9_1,"1000",waitResponseWindow,"3000",m,"","",580;1000,60;34,"16.66",652192,m,575,"1"
"184",test,O,word,m,3t10_1,"1000",waitResponseWindow,"3000",m,"","",661;1000,60;39,"16.66",655273,m,656,"1"
"185",test,T,word,m,3t11_1,"1000",waitResponseWindow,"3000",m,"","",717;1000,60;42,"16.66",658328,m,702,"1"
"186",test,M,word,m,3t12_1C,"1000",waitResponseWindow,"3000",m,"","",406;1000,60;24,"16.66",661017,m,397,"1"
"187",test,S,word,m,3t13_1,"1000",waitResponseWindow,"3000",m,"","",423;1000,60;25,"16.66",664033,m,410,"1"
"188",test,I,word,m,3t14_1,"1000",waitResponseWindow,"3000",m,"","",711;1000,60;42,"16.66",667321,m,698,"1"
"189",test,A,word,m,3t15_1,"1000",waitResponseWindow,"3000",m,"","",642;1000,60;38,"16.66",670251,m,636,"1"
"190",test,E,word,m,3t16_1,"1000",waitResponseWindow,"3000",m,"","",524;1000,60;31,"16.66",673133,m,517,"1"
"191",test,C,word,m,3t17_1,"1000",waitResponseWindow,"3000",m,"","",467;1000,60;27,"16.66",676075,m,450,"1"
"192",test,M,word,m,3t18_1,"1000",waitResponseWindow,"3000",m,"","",338;1000,60;20,"16.66",678946,m,325,"1"
"193",test,E,word,m,3t19_1C,"1000",waitResponseWindow,"3000",m,"","",358;1000,60;21,"16.66",681965,m,341,"1"
"194",test,R,word,m,3t20_1,"1000",waitResponseWindow,"3000",m,"","",356;1000,60;21,"16.66",684963,m,341,"1"
"195",test,M,word,m,3t21_1C,"1000",waitResponseWindow,"3000",m,"","",437;1000,60;26,"16.66",688043,m,432,"1"
"196",test,H,word,m,3t22_1,"1000",waitResponseWindow,"3000",m,"","",383;1000,60;22,"16.66",690989,m,371,"1"
"197",test,T,word,m,3t23_1,"1000",waitResponseWindow,"3000",m,"","",481;1000,60;28,"16.66",694086,m,464,"1"
"199",test,"",word,"",placeholder8,"",waitResponseWindow,"1500",m,"","","","","",730150,timeout,1488,""
