browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"111.0",MacOS,en-CA,2023-04-27_01:27:46,2023-04-26_21:27:46,2023-04-27_01:27:19,https://www.testable.org/experiment/11502/795217/start,672.069

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,feedback,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"129",test,T,word,m,3t11_1,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",551158,timeout,2988,"0"
"130",test,M,word,m,3t12_1C,"1000",waitResponseWindow,"3000",m,"","1004","120","8.37",554154,timeout,2988,"0"
"131",test,S,word,m,3t13_1,"1000",waitResponseWindow,"3000",m,"","999","120","8.33",555191,m,1029,"1"
"132",test,I,word,m,3t14_1,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",560155,timeout,2993,"0"
"133",test,A,word,m,3t15_1,"1000",waitResponseWindow,"3000",m,"","1004","120","8.37",563158,timeout,3000,"0"
"134",test,E,word,m,3t16_1,"1000",waitResponseWindow,"3000",m,"","1000","120","8.34",564164,m,997,"1"
"135",test,C,word,m,3t17_1,"1000",waitResponseWindow,"3000",m,"","1000","119","8.40",569165,timeout,2997,"0"
"136",test,M,word,m,3t18_1,"1000",waitResponseWindow,"3000",m,"","1004","120","8.37",572166,timeout,2995,"0"
"137",test,E,word,m,3t19_1C,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",575166,timeout,2993,"0"
"138",test,R,word,m,3t20_1,"1000",waitResponseWindow,"3000",m,"","997","118","8.45",578163,timeout,2989,"0"
"139",test,M,word,m,3t21_1C,"1000",waitResponseWindow,"3000",m,"",750;996,"88","8.48",578912,m,730,"1"
"140",test,H,word,m,3t22_1,"1000",waitResponseWindow,"3000",m,"","1004",117;121,"8.41",584154,timeout,2986,"0"
"141",test,T,word,m,3t23_1,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",587153,timeout,2991,"0"
"143",test,"",word,"",placeholder8,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",600049,timeout,2988,""
"144",test,O,word,m,3t1_2,"1000",waitResponseWindow,"3000",m,"",565;1000,"67","8.33",600614,m,556,"1"
"145",test,L,word,m,3t2_2,"1000",waitResponseWindow,"3000",m,"",336;1004,120;40,"8.27",603385,m,326,"1"
"146",test,D,word,m,3t3_2,"1000",waitResponseWindow,"3000",m,"",352;1000,121;42,"8.32",606405,m,342,"1"
"147",test,K,word,m,3t4_2,"1000",waitResponseWindow,"3000",m,"","1000",119;120,"8.37",612059,timeout,2996,"0"
"148",test,I,word,m,3t5_2,"1000",waitResponseWindow,"3000",m,"","996","120","8.30",615058,timeout,2993,"0"
"149",test,D,word,m,3t6_2C,"1000",waitResponseWindow,"3000",m,"","1000","120","8.34",618055,timeout,2985,"0"
"150",test,A,word,m,3t7_2,"1000",waitResponseWindow,"3000",m,"","1000","119","8.40",621054,timeout,2993,"0"
"151",test,E,word,m,3t8_2,"1000",waitResponseWindow,"3000",m,"","1000","119","8.41",624055,timeout,2993,"0"
"152",test,B,word,m,3t9_2,"1000",waitResponseWindow,"3000",m,"","1004","120","8.37",627058,timeout,2994,"0"
"153",test,S,word,m,3t10_2,"1000",waitResponseWindow,"3000",m,"",361;996,"43","8.24",627418,m,356,"1"
"154",test,P,word,m,3t11_2,"1000",waitResponseWindow,"3000",m,"",927;1004,120;110,"8.34",630980,m,917,"1"
"155",test,B,word,m,3t12_2C,"1000",waitResponseWindow,"3000",m,"",538;1004,120;65,"8.32",633604,m,531,"1"
